id,title,theme,order,photo_ids,sandburg_prologue_excerpt,source_ids,notes
sec-prologue,Prologue,"Entry — crowds and the human collective",1,photo-0001;photo-0002;photo-0003;photo-0004;photo-0005;photo-0006;photo-0007;photo-0008,,"src-moma-1955-catalog;src-moma-1955-press-release-book","Entrance archway with crowd imagery per MoMA archive-highlights page; Sandburg's prologue (distributed in full as a leaflet) opens the exhibition. Thematic cluster reconstructed from MoMA institutional records. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 8 photographs (checklist Section 1 Prologue, plates #1-#11A). Sandburg prologue excerpt deliberately blank: the 1955 catalog interior text was not accessible via Internet Archive in the prior session (both scans access-restricted per research/sections.md); no verbatim excerpt has been opened in this session. Per CLAUDE.md anti-confabulation policy, the sandburg_prologue_excerpt field remains empty until the physical catalog or an unrestricted digital copy is consulted."
sec-lovers,Lovers,"Love and courtship",2,photo-0009;photo-0010;photo-0011;photo-0012;photo-0013;photo-0014;photo-0015;photo-0016;photo-0017;photo-0018;photo-0019;photo-0020;photo-0021;photo-0022,,"src-moma-1955-catalog;src-moma-exh-2429","Thematic cluster attested in MoMA institutional summaries and CNA education portal (love); sequencing reconstructed from MoMA archive-highlights page. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 14 photographs (checklist Section 2 Lovers, plates #12-#25). Sandburg prologue excerpt deliberately blank: not consulted this session (see sec-prologue notes)."
sec-marriage-birth,"Marriage and childbirth","Union, conception, and birth",3,photo-0023;photo-0024;photo-0025;photo-0026;photo-0027;photo-0028;photo-0029;photo-0030;photo-0031;photo-0032;photo-0033;photo-0034;photo-0035;photo-0036;photo-0037;photo-0038;photo-0039;photo-0040;photo-0041;photo-0045;photo-0046;photo-0047,,"src-moma-1955-catalog;src-cna-education","CNA education portal names childbirth among the 37 themes; childbirth is attested in MoMA archive-highlights as following lovers. Thematic cluster, not a verbatim catalog heading. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 22 photographs spanning checklist Sections 3 Marriage (#26-#32), 4 Pregnancy (#33-#41), 5 Childbirth (#42-#44), and 7 Births (#48-#50) — all collapsed into this cluster. Note: photo-0042/0043/0044 (Section 6 Nursing Mothers) are mapped to sec-family-children, not this cluster. Sandburg prologue excerpt deliberately blank: not consulted this session."
sec-family-children,"Family and children","Household, parenting, the young",4,photo-0042;photo-0043;photo-0044;photo-0048;photo-0049;photo-0050;photo-0051;photo-0052;photo-0053;photo-0054;photo-0055;photo-0056;photo-0057;photo-0058;photo-0059;photo-0060;photo-0061;photo-0062;photo-0063;photo-0064;photo-0065;photo-0066;photo-0067;photo-0068;photo-0069;photo-0070;photo-0071;photo-0072;photo-0073;photo-0074;photo-0075;photo-0076;photo-0077;photo-0078;photo-0079;photo-0080;photo-0081;photo-0082;photo-0083;photo-0084;photo-0085;photo-0086;photo-0087;photo-0088;photo-0089;photo-0090;photo-0091;photo-0092;photo-0093;photo-0094;photo-0095;photo-0096;photo-0097;photo-0098;photo-0099;photo-0100;photo-0101;photo-0102;photo-0103;photo-0104;photo-0105;photo-0106;photo-0107;photo-0108;photo-0109;photo-0110;photo-0111;photo-0112;photo-0113,,"src-moma-1955-catalog;src-cna-education","CNA portal lists family and childhood among the themes; MoMA archive-highlights describes household life after childbirth. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 69 photographs spanning checklist Sections 6 Nursing Mothers (#45-#47), 8 Mothers and Babies (#51-#65 with gaps), 9 Children A (#66-#79 with gaps), 10 Family Activities (#84-#92 with gaps), 11 Children B (#93-#106 with gaps), 12 Fathers and Sons (#107-#114), and 13 Family Groups (#116-#120). Sandburg prologue excerpt deliberately blank: not consulted this session."
sec-play-learning,"Play, learning, and education","Growing up: play and education",5,photo-0317;photo-0318;photo-0319;photo-0320;photo-0321;photo-0322;photo-0323;photo-0324;photo-0325;photo-0326;photo-0327;photo-0328;photo-0329;photo-0330;photo-0331;photo-0332;photo-0333;photo-0334;photo-0401;photo-0402;photo-0403;photo-0404;photo-0405;photo-0406;photo-0407;photo-0408;photo-0409;photo-0410;photo-0411;photo-0412;photo-0413;photo-0414;photo-0415;photo-0416;photo-0417;photo-0418,,"src-moma-1955-catalog;src-cna-education","CNA portal names education among the themes. Grouping of play and learning reconstructed from secondary summaries. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 36 photographs spanning checklist Section 26 Learning (#328-#347 with gaps, photo-0317 through photo-0334) and Section 35 Teens (#414-#433 with gaps, photo-0401 through photo-0418). Section 35 TEENS mapping to sec-play-learning is approximate, not canonical (see individual photo notes for the alternative-mapping discussion). Sandburg prologue excerpt deliberately blank: not consulted this session."
sec-work,Work,"Labor across cultures",6,photo-0114;photo-0115;photo-0116;photo-0117;photo-0118;photo-0119;photo-0120;photo-0121;photo-0122;photo-0123;photo-0124;photo-0125;photo-0126;photo-0127;photo-0128;photo-0129;photo-0130;photo-0131;photo-0132;photo-0133;photo-0134;photo-0135;photo-0136;photo-0137;photo-0138;photo-0139;photo-0140;photo-0141;photo-0142;photo-0143;photo-0144;photo-0145;photo-0146;photo-0147;photo-0148;photo-0149;photo-0150;photo-0151;photo-0152;photo-0153;photo-0154;photo-0155;photo-0156;photo-0157;photo-0158;photo-0159;photo-0160;photo-0161;photo-0162;photo-0163;photo-0164;photo-0165;photo-0166;photo-0167;photo-0168;photo-0169;photo-0170;photo-0171;photo-0172;photo-0173;photo-0174;photo-0175;photo-0176;photo-0177;photo-0178;photo-0179;photo-0180;photo-0181;photo-0182;photo-0183;photo-0184;photo-0185;photo-0489;photo-0490,,"src-moma-1955-catalog;src-barthes-1957","MoMA archive-highlights names careers; CNA names work; Barthes 1957 explicitly treats work as one of the exhibition's universalized categories. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 74 photographs spanning checklist Section 14 Land (#115 out-of-order + #121-#141 + #168 out-of-order + #506 out-of-range, photo-0114 through photo-0136 plus photo-0489), Section 15 Work (A) (#142-#167 with gaps + #505 out-of-range, photo-0137 through photo-0160 plus photo-0490), Section 16 Work (B) (#169-#188, photo-0161 through photo-0180), and Section 17 Woman's Work (#189-#193, photo-0181 through photo-0185). Sandburg prologue excerpt deliberately blank: not consulted this session."
sec-eating-everyday,"Eating and everyday life","Shared meals, daily ritual",7,photo-0244;photo-0245;photo-0246;photo-0247;photo-0248;photo-0249;photo-0250;photo-0251;photo-0252;photo-0253;photo-0254;photo-0255;photo-0256;photo-0257,,"src-moma-1955-catalog","Eating together is widely recognized as a recurring motif in the exhibition's mid-flow sequence. Thematic cluster reconstructed from catalog sequencing. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 14 photographs from checklist Section 23 Food (#254-#268 with gap at #261, photo-0244 through photo-0257). Sandburg prologue excerpt deliberately blank: not consulted this session."
sec-relationships-community,"Relationships and community","Friendship, society, celebration",8,photo-0186;photo-0187;photo-0188;photo-0189;photo-0190;photo-0191;photo-0192;photo-0193;photo-0194;photo-0195;photo-0196;photo-0197;photo-0198;photo-0199;photo-0200;photo-0201;photo-0202;photo-0203;photo-0204;photo-0205;photo-0206;photo-0207;photo-0208;photo-0209;photo-0210;photo-0211;photo-0212;photo-0213;photo-0214;photo-0215;photo-0216;photo-0217;photo-0218;photo-0219;photo-0220;photo-0221;photo-0222;photo-0223;photo-0224;photo-0225;photo-0226;photo-0227;photo-0228;photo-0229;photo-0230;photo-0231;photo-0232;photo-0233;photo-0234;photo-0235;photo-0236;photo-0237;photo-0238;photo-0239;photo-0240;photo-0241;photo-0242;photo-0243;photo-0258;photo-0259;photo-0260;photo-0261;photo-0262;photo-0263;photo-0264;photo-0265;photo-0266;photo-0267;photo-0268;photo-0269;photo-0270;photo-0271;photo-0272;photo-0273;photo-0274;photo-0275;photo-0276;photo-0277;photo-0278;photo-0279;photo-0280;photo-0281;photo-0282;photo-0283;photo-0284;photo-0285;photo-0286;photo-0287;photo-0288;photo-0289;photo-0290;photo-0291;photo-0292;photo-0293;photo-0294;photo-0295;photo-0296;photo-0297;photo-0298;photo-0299;photo-0300;photo-0301;photo-0302;photo-0303;photo-0304;photo-0305;photo-0306;photo-0307;photo-0308;photo-0309;photo-0310;photo-0311;photo-0312;photo-0313;photo-0314;photo-0315;photo-0316;photo-0431;photo-0432;photo-0433;photo-0434;photo-0435;photo-0436,,"src-moma-1955-catalog","Mid-exhibition social-life grouping. Thematic cluster reconstructed from catalog sequencing; exact boundaries are not canonical. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 123 photographs spanning checklist Section 18 Adult Play (#195-#221 with gaps, photo-0186 through photo-0212), Section 19 Classical Music (#194 out-of-order + #222-#226, photo-0192 and photo-0213 through photo-0217), Section 20 Jazz and Blues (#227-#232, photo-0218 through photo-0223), Section 21 Dance (#233-#245, photo-0224 through photo-0236), Section 22 Folk Music (#247-#253 with gap at #246, photo-0237 through photo-0243), Section 24 Ring Around the Rosy (#270-#287, photo-0259 through photo-0276), Section 25 Relationships (#269 out-of-order + #288-#327, photo-0258 and photo-0277 through photo-0316), and Section 39 Faces (#446-#451, photo-0431 through photo-0436). Section 39 FACES mapping to sec-relationships-community is approximate, not canonical. Sandburg prologue excerpt deliberately blank: not consulted this session."
sec-hardship-suffering-war,"Hardship, suffering, and war","Pain, conflict, and injustice",9,photo-0376;photo-0377;photo-0378;photo-0379;photo-0380;photo-0381;photo-0382;photo-0383;photo-0384;photo-0385;photo-0386;photo-0387;photo-0388;photo-0389;photo-0390;photo-0391;photo-0392;photo-0393;photo-0394;photo-0395;photo-0396;photo-0397;photo-0398;photo-0399;photo-0400;photo-0437;photo-0438;photo-0439;photo-0440;photo-0441,,"src-moma-1955-catalog;src-barthes-1957;src-cna-education","CNA lists war among the themes; the exhibition famously included a large H-bomb image; Barthes 1957 critiques the exhibition's handling of suffering as ahistorical. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 30 photographs spanning checklist Section 31 Hard Times (#390-#394, photo-0376 through photo-0380), Section 32 Famine (#395-#400 with gap at #399, photo-0381 through photo-0385), Section 33 Inhumanities (#401-#405 including #404A, photo-0386 through photo-0391), Section 34 Revolt (#406-#413 + out-of-order #422, photo-0392 through photo-0400), and the unlabeled bridge group + Section 40 BOMB (#452-#456, photo-0437 through photo-0441). The #422 plate (Ralph Crane, Germany, printed out-of-order in Section 34 page block) and the #452-#455 unlabeled bridge plates are approximate, not canonical, cluster assignments (see individual photo notes). Sandburg prologue excerpt deliberately blank: not consulted this session."
sec-death-mourning,"Death and mourning","End of life, grief",10,photo-0335;photo-0336;photo-0337;photo-0338;photo-0339;photo-0340;photo-0341;photo-0342;photo-0343;photo-0344;photo-0345;photo-0346;photo-0347,,"src-moma-1955-catalog;src-barthes-1957","Attested in MoMA archive-highlights (Death) and CNA/Sandeen analyses; Barthes 1957 directly discusses the exhibition's treatment of death as a naturalized universal. photo_ids populated 2026-05-08 from data/photographs.csv section column (src-moma-exh-0569-master-checklist anchor): 13 photographs from checklist Section 27 Death (#348-#360, contiguous range of 13 plate numbers with one out-of-order plate at #358, photo-0335 through photo-0347). Sandburg prologue excerpt deliberately blank: not consulted this session."
